time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
1687630500,2023-06-25 00:00,20.8,69.4,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/353.png', 'code': 1240}",2.9,4.7,156,SSE,1005.0,29.68,1.8,0.07,91,100,20.8,69.4,20.8,69.4,20.8,69.4,19.3,66.7,0,0,0,0,10.0,6.0,5.4,8.6,1.0
1687634100,2023-06-25 01:00,19.8,67.6,0,"{'text': 'Moderate or heavy rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/356.png', 'code': 1243}",3.1,5.0,90,E,1006.0,29.69,2.7,0.11,94,54,19.8,67.6,19.8,67.6,19.8,67.6,18.8,65.8,0,0,0,0,7.0,4.0,6.0,9.7,1.0
1687637700,2023-06-25 02:00,19.4,66.9,0,"{'text': 'Torrential rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/359.png', 'code': 1246}",2.7,4.3,100,E,1005.0,29.68,7.6,0.3,96,75,19.4,66.9,19.4,66.9,19.4,66.9,18.7,65.7,0,0,0,0,3.0,1.0,5.4,8.6,1.0
1687641300,2023-06-25 03:00,19.3,66.7,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/353.png', 'code': 1240}",1.6,2.5,116,ESE,1005.0,29.68,2.3,0.09,97,87,19.3,66.7,19.3,66.7,19.3,66.7,18.8,65.8,0,0,0,0,10.0,6.0,3.1,5.0,1.0
1687644900,2023-06-25 04:00,19.3,66.7,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/353.png', 'code': 1240}",1.6,2.5,56,ENE,1006.0,29.7,2.2,0.09,97,94,19.3,66.7,19.3,66.7,19.3,66.7,18.8,65.8,0,0,0,0,10.0,6.0,3.4,5.4,1.0
1687648500,2023-06-25 05:00,19.3,66.7,0,"{'text': 'Torrential rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/359.png', 'code': 1246}",2.0,3.2,15,NNE,1006.0,29.72,13.2,0.52,97,89,19.3,66.7,19.3,66.7,19.3,66.7,18.8,65.8,0,0,0,0,3.0,1.0,4.3,6.8,1.0
1687652100,2023-06-25 06:00,19.6,67.3,1,"{'text': 'Patchy light drizzle', 'icon': '//cdn.weatherapi.com/weather/64x64/day/263.png', 'code': 1150}",1.3,2.2,302,WNW,1007.0,29.73,0.6,0.02,95,74,19.6,67.3,19.6,67.3,19.6,67.3,18.8,65.8,0,0,0,0,5.0,3.0,2.2,3.6,4.0
1687655700,2023-06-25 07:00,20.1,68.2,1,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",3.1,5.0,322,NW,1007.0,29.75,0.4,0.02,93,64,20.1,68.2,20.1,68.2,20.1,68.2,18.9,66.0,0,0,0,0,10.0,6.0,4.9,7.9,5.0
1687659300,2023-06-25 08:00,20.4,68.7,1,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",1.3,2.2,232,SW,1007.0,29.74,1.2,0.05,91,81,20.4,68.7,20.4,68.7,20.4,68.7,18.9,66.0,0,0,0,0,10.0,6.0,2.0,3.2,5.0
1687662900,2023-06-25 09:00,22.4,72.3,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",2.9,4.7,241,WSW,1007.0,29.75,0.4,0.02,86,80,24.7,76.5,22.4,72.3,24.7,76.5,19.9,67.8,0,0,0,0,9.0,5.0,3.8,6.1,5.0
1687666500,2023-06-25 10:00,24.5,76.1,1,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",2.7,4.3,277,W,1007.0,29.73,0.4,0.02,79,57,26.4,79.5,24.5,76.1,26.4,79.5,20.5,68.9,0,0,0,0,10.0,6.0,3.8,6.1,5.0
1687670100,2023-06-25 11:00,27.1,80.8,1,"{'text': 'Moderate or heavy rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/356.png', 'code': 1243}",2.5,4.0,260,W,1006.0,29.71,3.1,0.12,72,78,29.6,85.3,27.1,80.8,29.6,85.3,21.6,70.9,0,0,0,0,7.0,4.0,3.8,6.1,6.0
1687673700,2023-06-25 12:00,27.3,81.1,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",2.7,4.3,272,W,1005.0,29.68,1.2,0.05,70,72,29.7,85.5,27.3,81.1,29.7,85.5,21.3,70.3,0,0,0,0,9.0,5.0,3.6,5.8,6.0
1687677300,2023-06-25 13:00,27.4,81.3,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",3.8,6.1,268,W,1005.0,29.67,1.1,0.04,68,76,29.7,85.5,27.4,81.3,29.7,85.5,21.1,70.0,0,0,0,0,9.0,5.0,5.8,9.4,6.0
1687680900,2023-06-25 14:00,27.1,80.8,1,"{'text': 'Moderate or heavy rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/356.png', 'code': 1243}",4.0,6.5,269,W,1004.0,29.65,3.5,0.14,69,80,29.2,84.6,27.1,80.8,29.2,84.6,20.8,69.4,0,0,0,0,7.0,4.0,6.7,10.8,6.0
1687684500,2023-06-25 15:00,26.8,80.2,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",4.0,6.5,258,WSW,1004.0,29.64,1.1,0.04,69,76,28.9,84.0,26.8,80.2,28.9,84.0,20.7,69.3,0,0,0,0,9.0,5.0,7.2,11.5,6.0
1687688100,2023-06-25 16:00,26.0,78.8,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",3.4,5.4,252,WSW,1004.0,29.64,1.0,0.04,72,76,27.9,82.2,26.0,78.8,27.9,82.2,20.6,69.1,0,0,0,0,9.0,5.0,6.3,10.1,6.0
1687691700,2023-06-25 17:00,25.4,77.7,1,"{'text': 'Moderate or heavy rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/356.png', 'code': 1243}",2.2,3.6,258,WSW,1004.0,29.64,5.8,0.23,78,76,27.5,81.5,25.4,77.7,27.5,81.5,21.3,70.3,0,0,0,0,7.0,4.0,4.3,6.8,6.0
1687695300,2023-06-25 18:00,23.8,74.8,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",2.5,4.0,221,SW,1004.0,29.65,0.3,0.01,86,85,25.9,78.6,23.8,74.8,25.9,78.6,21.3,70.3,0,0,0,0,9.0,5.0,2.9,4.7,5.0
1687698900,2023-06-25 19:00,22.8,73.0,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",0.4,0.7,153,SSE,1005.0,29.67,0.2,0.01,89,85,25.1,77.2,22.8,73.0,25.1,77.2,20.9,69.6,0,0,0,0,9.0,5.0,0.7,1.1,5.0
1687702500,2023-06-25 20:00,21.7,71.1,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/353.png', 'code': 1240}",2.5,4.0,183,S,1006.0,29.71,0.4,0.02,91,63,21.7,71.1,21.7,71.1,24.4,75.9,20.1,68.2,0,0,0,0,10.0,6.0,3.8,6.1,1.0
1687706100,2023-06-25 21:00,21.4,70.5,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",1.8,2.9,153,SSE,1007.0,29.75,0.2,0.01,92,83,21.4,70.5,21.4,70.5,24.2,75.6,20.1,68.2,0,0,0,0,9.0,5.0,2.7,4.3,1.0
1687709700,2023-06-25 22:00,20.9,69.6,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",2.7,4.3,172,S,1008.0,29.76,0.4,0.02,94,73,20.9,69.6,20.9,69.6,20.9,69.6,19.9,67.8,0,0,0,0,9.0,5.0,4.3,6.8,1.0
1687713300,2023-06-25 23:00,19.8,67.6,0,"{'text': 'Moderate or heavy rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/night/356.png', 'code': 1243}",2.0,3.2,150,SSE,1008.0,29.76,3.6,0.14,95,51,19.8,67.6,19.8,67.6,19.8,67.6,18.9,66.0,0,0,0,0,7.0,4.0,3.6,5.8,1.0
